PTY,DISTRICT_N,VOTES
I,37907,375
R,37907,3254
I,37908,69
R,37908,370
D,37909,8
I,37909,54
R,37909,465
I,38901,90
R,38901,1593
I,39902,168
R,39902,1992
I,39903,99
R,39903,1256
I,39904,21
R,39904,415
I,39905,34
R,39905,643
I,40901,53
R,40901,394
I,40902,75
R,40902,635
I,41901,47
R,41901,711
I,41902,30
R,41902,540
I,42901,73
R,42901,1325
I,42903,59
R,42903,686
I,42905,88
R,42905,1254
D,43901,13873
I,43901,1638
R,43901,23316
D,43902,481
I,43902,492
R,43902,3422
D,43903,250
I,43903,402
R,43903,4033
D,43904,122
I,43904,270
R,43904,2617
D,43905,28116
I,43905,2957
R,43905,48044
D,43907,14713
I,43907,2131
R,43907,34140
D,43908,699
I,43908,164
R,43908,2775
D,43910,50694
I,43910,5872
R,43910,75839
D,43911,1017
I,43911,212
R,43911,3521
D,43912,4021
I,43912,669
R,43912,12349
D,43914,1355
I,43914,3726
R,43914,15786
D,43917,62
I,43917,75
R,43917,1054
D,43918,64
I,43918,561
R,43918,3801
D,43919,947
I,43919,197
R,43919,3944
I,44902,66
R,44902,1140
D,45902,759
I,45902,95
R,45902,3407
D,45903,698
I,45903,52
R,45903,1636
D,45905,336
I,45905,44
R,45905,1391
D,46901,4165
I,46901,811
R,46901,11763
D,46902,12174
I,46902,2607
R,46902,42829
I,47901,173
R,47901,2090
I,47902,115
R,47902,1258
I,47903,27
R,47903,294
I,47905,23
R,47905,245
I,48901,30
R,48901,463
I,48903,24
R,48903,333
I,49901,578
R,49901,4151
I,49902,75
R,49902,1584
I,49903,106
R,49903,1116
I,49905,260
R,49905,3140
D,49906,6
I,49906,68
R,49906,894
I,49907,84
R,49907,745
I,49908,10
R,49908,156
I,49909,18
R,49909,302
D,50901,149
I,50901,25
R,50901,811
D,50902,1147
I,50902,188
R,50902,4762
D,50904,121
I,50904,18
R,50904,527
D,50909,95
I,50909,21
R,50909,689
D,50910,2568
I,50910,353
R,50910,4586
I,51901,41
R,51901,459
D,52901,313
I,52901,38
R,52901,1000
D,53001,462
I,53001,28
R,53001,875
I,54901,63
R,54901,565
I,54902,63
R,54902,525
I,54903,54
R,54903,510
D,55901,525
I,55901,25
R,55901,301
I,56901,147
R,56901,2064
I,56902,19
R,56902,264
D,57903,26289
I,57903,2753
R,57903,25246
D,57904,14478
I,57904,617
R,57904,5236
D,57905,133304
I,57905,36186
R,57905,98047
D,57906,20202
I,57906,470
R,57906,3364
D,57907,15985
I,57907,781
R,57907,7110
I,57909,19592
R,57909,49927
D,57910,16598
I,57910,701
R,57910,11591
I,57911,2341
R,57911,14258
D,57912,19631
I,57912,886
R,57912,15695
D,57913,12168
I,57913,324
R,57913,1634
D,57914,66
I,57914,11381
R,57914,22443
D,57916,69
I,57916,21099
R,57916,45517
I,57919,431
R,57919,2358
D,57922,6889
I,57922,689
R,57922,10970
I,58902,7
R,58902,93
I,58905,104
R,58905,1227
I,58906,125
R,58906,1412
I,58909,9
R,58909,220
I,59901,163
R,59901,1411
I,59902,138
R,59902,1463
I,60902,149
R,60902,1699
I,60914,42
R,60914,416
D,61901,24601
I,61901,3222
R,61901,37956
D,61902,36361
I,61902,4398
R,61902,69416
D,61903,946
I,61903,184
R,61903,3727
D,61905,588
I,61905,127
R,61905,2945
D,61906,479
I,61906,127
R,61906,2653
D,61907,1621
I,61907,243
R,61907,4360
D,61908,930
I,61908,191
R,61908,4269
D,61910,730
I,61910,166
R,61910,4230
D,61911,8678
I,61911,1568
R,61911,30692
D,61912,1980
I,61912,341
R,61912,5769
D,61914,5230
I,61914,639
R,61914,9168
D,62901,564
R,62901,1808
D,62902,76
R,62902,355
D,62903,431
R,62903,2274
D,62904,222
R,62904,1237
D,62905,59
R,62905,343
D,62906,66
R,62906,681
I,63903,14
R,63903,322
I,63906,7
R,63906,169
D,64903,2038
I,64903,173
R,64903,933
I,65901,106
R,65901,1009
I,65902,26
R,65902,248
D,66005,97
I,66005,3
R,66005,21
D,66901,764
I,66901,30
R,66901,155
D,66902,1639
I,66902,74
R,66902,293
D,66903,527
I,66903,50
R,66903,341
I,67902,109
R,67902,1522
I,67903,151
R,67903,2216
I,67904,42
R,67904,702
I,67907,100
R,67907,998
I,67908,35
R,67908,537
I,68901,4154
R,68901,27242
D,69901,229
I,69901,28
R,69901,405
D,69902,162
I,69902,47
R,69902,867
D,70901,35
I,70901,8
R,70901,210
D,70903,2313
I,70903,313
R,70903,5883
D,70905,928
I,70905,86
R,70905,2035
D,70907,264
I,70907,29
R,70907,772
D,70908,2716
I,70908,354
R,70908,13321
D,70909,112
I,70909,6
R,70909,282
D,70910,355
I,70910,62
R,70910,1369
D,70911,3250
I,70911,302
R,70911,6625
D,70912,4515
I,70912,550
R,70912,14113
D,70915,292
I,70915,59
R,70915,1854
D,71901,6307
I,71901,864
R,71901,760
D,71902,67646
I,71902,11816
D,71903,1835
I,71903,82
R,71903,425
D,71904,1695
I,71904,64
R,71904,271
D,71905,42500
I,71905,5659
R,71905,449
D,71906,657
I,71906,116
D,71907,7230
I,71907,1454
D,71908,443
I,71908,20
R,71908,130
D,71909,38656
I,71909,5714
R,71909,1101
D,72901,49
I,72901,10
R,72901,371
D,72902,113
I,72902,149
R,72902,2252
D,72903,755
I,72903,473
R,72903,5789
I,72904,35
R,72904,476
D,72908,1
I,72908,53
R,72908,828
D,72909,18
I,72909,33
R,72909,558
I,72910,26
R,72910,388
D,73901,178
I,73901,17
R,73901,480
D,73903,904
I,73903,35
R,73903,1221
D,73904,11
I,73904,2
R,73904,117
D,73905,361
I,73905,48
R,73905,1476
I,74903,461
R,74903,3769
I,74904,63
R,74904,495
I,74905,29
R,74905,339
I,74907,136
R,74907,905
I,74909,96
R,74909,1110
I,74911,34
R,74911,594
I,74912,96
R,74912,959
I,74917,90
R,74917,944
D,75901,293
I,75901,41
R,75901,1302
D,75902,888
I,75902,124
R,75902,3842
D,75903,362
I,75903,36
R,75903,1658
D,75906,117
I,75906,14
R,75906,659
D,75908,148
I,75908,27
R,75908,970
I,76903,69
R,76903,530
I,76904,56
R,76904,403
I,77901,64
R,77901,865
I,77902,37
R,77902,571
I,78901,48
R,78901,443
D,79901,23005
R,79901,38196
D,79906,974
R,79906,3966
D,79907,85509
R,79907,61250
D,79910,3289
R,79910,1704
I,80901,348
R,80901,3211
D,81902,720
I,81902,100
R,81902,3215
D,81904,371
I,81904,39
R,81904,1656
D,81905,126
I,81905,14
R,81905,606
D,81906,73
I,81906,7
R,81906,337
D,82902,654
I,82902,58
R,82902,553
D,82903,1321
I,82903,138
R,82903,783
I,83901,56
R,83901,535
I,83902,10
R,83902,185
I,83903,201
R,83903,3353
D,84901,6293
R,84901,11082
D,84902,8628
R,84902,8626
D,84903,104
R,84903,390
D,84906,9540
R,84906,7423
D,84908,1853
R,84908,2462
D,84909,2414
R,84909,9169
D,84910,19084
I,84910,5192
R,84910,63350
D,84911,2645
R,84911,11899
I,85902,85
R,85902,1108
I,85903,12
R,85903,149
D,86024,23
I,86024,11
R,86024,265
D,86901,1753
I,86901,550
R,86901,9255
D,86902,177
I,86902,87
R,86902,1570
I,87901,25
R,87901,564
D,88902,1080
R,88902,2420
D,89901,991
R,89901,3165
D,89903,320
I,89903,11
R,89903,1167
D,89905,284
R,89905,474
I,90902,20
R,90902,215
I,90903,38
R,90903,498
I,90904,604
R,90904,5352
I,90905,17
R,90905,136
I,91901,96
R,91901,990
I,91902,89
R,91902,1037
I,91903,1057
R,91903,6186
I,91905,268
R,91905,1800
I,91906,1640
R,91906,8162
I,91907,48
R,91907,522
I,91908,361
R,91908,2709
I,91909,276
R,91909,3169
I,91910,168
R,91910,1605
I,91913,362
R,91913,3099
I,91914,255
R,91914,2380
I,91917,130
R,91917,1240
I,91918,166
R,91918,1648
D,92901,609
I,92901,101
R,92901,2806
D,92902,1247
I,92902,116
R,92902,5368
D,92903,7170
I,92903,375
R,92903,11677
D,92904,1857
I,92904,179
R,92904,6463
D,92906,365
I,92906,51
R,92906,2330
D,92907,481
I,92907,82
R,92907,2930
D,92908,181
I,92908,38
R,92908,1770
D,93904,170
I,93904,34
R,93904,969
D,94901,4154
I,94901,611
R,94901,8756
D,94902,9600
I,94902,1213
R,94902,16580
D,94903,1128
I,94903,185
R,94903,2977
D,94904,860
I,94904,180
R,94904,2947
I,95901,75
R,95901,967
I,95902,29
R,95902,304
I,95903,41
R,95903,424
I,95904,59
R,95904,472
I,95905,634
R,95905,5147
I,96904,64
R,96904,811
I,96905,18
R,96905,286
D,97902,282
I,97902,44
R,97902,1813
D,97903,134
I,97903,17
R,97903,910
I,98901,45
R,98901,608
I,98903,34
R,98903,633
I,98904,107
R,98904,1458
I,99902,104
R,99902,1027
I,99903,80
R,99903,1009
I,100903,242
R,100903,3836
I,100904,415
R,100904,5056
D,100905,761
I,100905,127
R,100905,4629
I,100907,337
R,100907,6860
I,100908,74
R,100908,1730
D,101902,39122
I,101902,1335
R,101902,10716
D,101903,36994
R,101903,12780
D,101905,3034
I,101905,780
R,101905,2561
D,101906,234
I,101906,932
R,101906,7725
D,101907,71132
I,101907,3675
R,101907,104206
D,101908,1233
I,101908,1439
R,101908,12698
D,101910,12809
I,101910,403
R,101910,3861
I,101911,3606
R,101911,15448
D,101912,278327
I,101912,7841
R,101912,135802
D,101913,20715
I,101913,1847
R,101913,43871
D,101914,37573
I,101914,1326
R,101914,68159
D,101915,23078
I,101915,2155
R,101915,46224
I,101916,1545
R,101916,11614
D,101917,24919
I,101917,2532
R,101917,21962
D,101919,27957
I,101919,1234
R,101919,17251
D,101920,18873
I,101920,1012
R,101920,37396
D,101921,2980
I,101921,551
R,101921,12566
D,101924,6304
I,101924,539
R,101924,3892
D,101925,657
I,101925,115
R,101925,5119
D,102901,400
I,102901,30
R,102901,1093
D,102902,4600
I,102902,197
R,102902,7523
D,102903,369
I,102903,19
R,102903,996
D,102904,1035
I,102904,172
R,102904,7041
D,102905,156
I,102905,20
R,102905,1147
D,102906,400
I,102906,48
R,102906,1739
I,103901,33
R,103901,671
I,103902,21
R,103902,332
I,104901,88
R,104901,918
I,104903,22
R,104903,182
I,104907,37
R,104907,280
D,105902,10445
I,105902,1628
R,105902,7833
D,105904,4714
I,105904,630
R,105904,8180
D,105905,2164
I,105905,243
R,105905,3677
D,105906,14502
I,105906,1854
R,105906,15429
I,106901,109
R,106901,1359
I,107901,670
R,107901,6093
I,107902,414
R,107902,5400
I,107904,110
R,107904,1452
I,107905,240
R,107905,2355
I,107906,279
R,107906,2819
I,107907,30
R,107907,278
I,107908,14
R,107908,173
I,107910,90
R,107910,1279
D,108902,7733
I,108902,219
R,108902,2684
D,108903,4332
I,108903,222
R,108903,549
D,108904,19694
I,108904,1694
R,108904,7347
D,108905,1898
I,108905,86
R,108905,283
D,108906,18479
I,108906,1503
R,108906,9433
D,108907,3353
I,108907,289
R,108907,809
D,108908,9060
I,108908,432
R,108908,3110
D,108909,17881
I,108909,767
R,108909,5483
D,108910,907
R,108910,259
D,108911,6795
I,108911,441
R,108911,4172
D,108912,10854
I,108912,322
R,108912,2224
D,108913,9806
I,108913,460
R,108913,3807
D,108914,816
I,108914,51
R,108914,158
D,108915,678
I,108915,39
R,108915,183
D,108916,3173
I,108916,200
R,108916,461
D,109901,103
I,109901,15
R,109901,538
D,109902,108
I,109902,14
R,109902,457
D,109903,88
I,109903,14
R,109903,419
D,109904,696
I,109904,73
R,109904,1825
D,109905,170
I,109905,14
R,109905,578
D,109907,288
I,109907,26
