PTY,DISTRICT_N,VOTES
R,188904,6860
D,189901,931
I,189901,36
R,189901,406
D,189902,385
I,189902,14
R,189902,154
I,190903,253
R,190903,3626
I,191901,2124
R,191901,19879
D,192901,136
I,192901,15
R,192901,475
D,193902,104
I,193902,39
R,193902,872
I,194902,46
R,194902,632
I,194903,106
R,194903,1242
I,194904,331
R,194904,1632
I,194905,70
R,194905,644
D,195901,1655
I,195901,109
R,195901,1103
D,195902,148
I,195902,14
R,195902,115
D,196901,140
R,196901,187
D,196902,435
R,196902,955
D,196903,504
R,196903,759
I,197902,29
R,197902,474
D,198901,187
I,198901,17
R,198901,668
D,198902,646
I,198902,24
R,198902,529
D,198903,508
I,198903,49
R,198903,2275
D,198905,591
I,198905,35
R,198905,982
D,198906,36
I,198906,2
R,198906,85
I,199901,3854
R,199901,25478
I,199902,1143
R,199902,7258
I,200901,104
R,200901,1576
I,200902,38
R,200902,516
I,200904,38
R,200904,722
I,200906,3
R,200906,47
D,201902,1706
I,201902,124
R,201902,6158
D,201903,190
I,201903,10
R,201903,676
D,201904,91
I,201904,7
R,201904,471
D,201907,183
I,201907,13
R,201907,598
D,201908,105
I,201908,9
R,201908,583
D,201910,370
I,201910,22
R,201910,1334
D,201913,92
I,201913,26
R,201913,583
D,201914,309
I,201914,32
R,201914,1522
D,202903,410
I,202903,40
R,202903,2641
D,202905,114
I,202905,15
R,202905,783
D,203901,707
I,203901,34
R,203901,1297
D,203902,148
I,203902,23
R,203902,1129
D,205901,504
R,205901,1414
D,205902,2129
R,205902,4876
D,205903,896
R,205903,2553
D,205904,1565
I,205904,2
R,205904,1282
D,205905,561
R,205905,814
D,205906,1713
R,205906,1956
D,205907,1041
R,205907,1281
I,206901,89
R,206901,1396
I,206902,29
R,206902,421
I,206903,13
R,206903,201
D,207901,221
I,207901,24
R,207901,795
I,208901,34
R,208901,375
I,208902,330
R,208902,3744
I,208903,16
R,208903,327
I,209901,44
R,209901,945
I,209902,24
R,209902,359
D,210901,749
I,210901,59
R,210901,2508
D,210902,139
I,210902,20
R,210902,1185
D,210903,310
I,210903,22
R,210903,1383
D,210904,175
I,210904,13
R,210904,579
D,210905,311
I,210905,30
R,210905,1362
D,210906,23
I,210906,4
R,210906,207
I,211901,4
R,211901,142
I,211902,46
R,211902,675
D,212901,496
I,212901,38
R,212901,1873
D,212902,442
I,212902,172
R,212902,4387
D,212903,1139
I,212903,181
R,212903,8006
D,212904,273
I,212904,92
R,212904,1919
D,212905,13815
I,212905,954
R,212905,26416
D,212906,1932
I,212906,266
R,212906,10437
D,212909,1947
I,212909,177
R,212909,5760
D,212910,617
I,212910,42
R,212910,1943
D,213901,493
I,213901,108
R,213901,3352
D,214901,5294
I,214901,93
R,214901,818
D,214902,199
I,214902,5
R,214902,79
D,214903,3372
I,214903,43
R,214903,429
I,215901,187
R,215901,2505
I,216901,13
R,216901,278
I,217901,58
R,217901,438
D,218901,315
I,218901,30
R,218901,1047
I,219901,167
R,219901,1554
I,219903,96
R,219903,1047
I,219905,23
R,219905,284
D,220901,49544
I,220901,2773
R,220901,53748
D,220902,13162
I,220902,1950
R,220902,32989
D,220904,4429
I,220904,46
R,220904,1830
D,220905,72027
I,220905,3388
R,220905,65117
D,220906,10078
I,220906,1640
R,220906,25446
D,220907,17975
I,220907,2498
R,220907,46874
D,220908,26204
I,220908,1351
R,220908,33146
D,220910,1868
I,220910,130
R,220910,2335
D,220912,16501
I,220912,884
R,220912,16070
D,220914,2487
I,220914,195
R,220914,5113
D,220915,2341
I,220915,572
R,220915,12892
D,220916,19523
I,220916,2635
R,220916,30682
D,220917,1507
I,220917,161
R,220917,2577
D,220918,9040
I,220918,1285
R,220918,21690
D,220919,3584
I,220919,490
R,220919,11504
D,220920,3064
I,220920,484
R,220920,8006
I,221901,4615
R,221901,22082
I,221904,244
R,221904,2098
I,221905,58
R,221905,529
I,221911,206
R,221911,2550
I,221912,774
R,221912,7900
D,222901,87
I,222901,5
R,222901,105
I,223901,238
R,223901,1857
I,223902,48
R,223902,275
I,223904,43
R,223904,371
I,224901,27
R,224901,562
I,224902,11
R,224902,224
I,225902,843
R,225902,4869
I,225906,138
R,225906,898
I,225907,67
R,225907,628
I,226901,79
R,226901,951
I,226903,3701
R,226903,23288
I,226905,142
R,226905,1639
I,226906,144
R,226906,2025
I,226907,84
R,226907,906
I,226908,110
R,226908,1085
D,227901,189898
I,227901,19917
R,227901,73276
D,227904,25922
I,227904,2737
R,227904,16205
D,227907,8703
I,227907,726
R,227907,3265
D,227909,9001
I,227909,957
R,227909,9683
D,227910,13369
I,227910,1394
R,227910,3307
D,227912,1112
I,227912,202
R,227912,2729
D,227913,7981
I,227913,1096
R,227913,15169
D,229901,5
I,229901,77
R,229901,1161
I,229903,287
R,229903,2840
I,229904,153
R,229904,2346
I,229905,36
R,229905,648
I,229906,24
R,229906,497
D,230901,255
I,230901,49
R,230901,1478
D,230902,498
I,230902,305
R,230902,5602
D,230903,3
I,230903,99
R,230903,1106
D,230904,12
I,230904,46
R,230904,596
D,230905,126
I,230905,88
R,230905,2106
D,230906,9
I,230906,116
R,230906,1531
I,230908,57
R,230908,1014
D,231901,181
I,231901,25
R,231901,508
D,231902,126
I,231902,21
R,231902,410
D,232901,206
I,232901,29
R,232901,412
D,232902,319
I,232902,39
R,232902,727
D,232903,3368
I,232903,273
R,232903,3094
D,232904,113
I,232904,34
R,232904,874
D,233901,5893
I,233901,452
R,233901,5051
D,233903,55
I,233903,9
R,233903,229
I,234902,405
R,234902,4061
I,234903,262
R,234903,2389
I,234904,123
R,234904,1314
I,234905,97
R,234905,1034
D,234906,111
I,234906,462
R,234906,5063
I,234907,461
R,234907,4467
I,234909,100
R,234909,1010
D,235901,527
R,235901,467
D,235902,8257
R,235902,19310
D,235904,100
R,235904,587
D,237902,915
I,237902,68
R,237902,1964
D,237904,4262
I,237904,350
R,237904,8821
D,237905,1221
I,237905,96
R,237905,2063
D,238902,648
I,238902,69
R,238902,1689
D,238904,177
I,238904,26
R,238904,718
D,239901,2697
I,239901,313
R,239901,9928
D,239903,197
I,239903,49
R,239903,1454
D,240901,15318
I,240901,446
R,240901,1392
D,240903,31738
I,240903,936
R,240903,4698
D,240904,999
I,240904,24
R,240904,124
D,241901,530
R,241901,1096
D,241902,695
R,241902,1583
D,241903,1503
R,241903,4213
D,241904,894
R,241904,1568
D,241906,149
R,241906,955
I,242902,55
R,242902,839
I,242903,41
R,242903,632
I,242905,9
R,242905,169
I,242906,35
R,242906,533
I,243901,689
R,243901,5278
I,243902,89
R,243902,1116
I,243903,279
R,243903,3111
I,243905,3436
R,243905,19823
I,243906,134
R,243906,976
I,244901,37
R,244901,321
I,244903,133
R,244903,1522
I,244905,17
R,244905,151
D,245901,266
R,245901,90
D,245902,1496
R,245902,574
D,245903,1214
R,245903,481
D,245904,230
R,245904,217
D,246902,591
I,246902,134
R,246902,2205
D,246904,10288
I,246904,1607
R,246904,24036
D,246905,272
I,246905,41
R,246905,792
D,246906,4496
I,246906,688
R,246906,6755
D,246907,1468
I,246907,211
R,246907,3938
D,246908,1195
I,246908,315
R,246908,4371
D,246909,46217
I,246909,5613
R,246909,44469
D,246911,2038
I,246911,218
R,246911,3162
D,246912,274
I,246912,53
R,246912,1044
D,246913,28726
I,246913,4535
R,246913,43420
D,246914,89
I,246914,16
R,246914,299
D,247901,4226
I,247901,230
R,247901,5833
D,247903,956
I,247903,119
R,247903,3959
D,247904,467
I,247904,23
R,247904,938
D,247906,474
I,247906,67
R,247906,1891
D,248901,177
I,248901,22
R,248901,693
D,248902,230
I,248902,25
R,248902,769
I,249901,118
R,249901,1571
D,249902,155
I,249902,167
R,249902,2270
I,249903,331
R,249903,3274
I,249904,100
R,249904,1197
D,249905,407
I,249905,283
R,249905,4571
I,249906,212
R,249906,2036
D,249908,106
I,249908,94
R,249908,1373
D,250902,358
I,250902,36
R,250902,1789
D,250903,68
I,250903,199
R,250903,3123
D,250904,198
I,250904,165
R,250904,3495
I,250905,94
R,250905,1339
I,250906,184
R,250906,2813
D,250907,184
I,250907,164
R,250907,2872
I,251901,87
R,251901,826
I,251902,88
R,251902,972
I,252901,374
R,252901,4449
I,252902,98
R,252902,1010
I,252903,99
R,252903,1388
D,253901,2497
I,253901,42
R,253901,494
D,254901,2012
I,254901,105
R,254901,404
D,254902,320
I,254902,32
R,254902,173
